pattern_index,runtime,model
1,0.0547559261322,decomposed
2,0.0527188777924,decomposed
3,0.0531243085861,decomposed
4,0.0537971258163,decomposed
5,0.0550030469894,decomposed
6,0.056973695755,decomposed
7,0.0559213161469,decomposed
8,0.0557360649109,decomposed
9,0.0549887418747,decomposed
10,0.0552731752396,decomposed
11,0.0570973157883,decomposed
12,0.058509349823,decomposed
13,0.0566517114639,decomposed
14,0.0566836595535,decomposed
15,0.0573983192444,decomposed
16,0.0558972358704,decomposed
17,0.0567336082458,decomposed
18,0.0572969913483,decomposed
19,0.0562310218811,decomposed
20,0.0565897226334,decomposed
21,0.0559681653976,decomposed
22,0.0552730560303,decomposed
23,0.0585145950317,decomposed
24,0.0573905706406,decomposed
25,0.0565347671509,decomposed
26,0.0570276975632,decomposed
27,0.0579113960266,decomposed
28,0.0547407865524,decomposed
29,0.0569876432419,decomposed
30,0.0573953390121,decomposed
31,0.0579024553299,decomposed
32,0.0579892396927,decomposed
33,0.0592781305313,decomposed
34,0.0612589120865,decomposed
35,0.0611816644669,decomposed
36,0.0563081502914,decomposed
37,0.0617442131042,decomposed
38,0.0580713748932,decomposed
39,0.061794757843,decomposed
40,0.0626236200333,decomposed
41,0.0554949045181,decomposed
42,0.0581876039505,decomposed
43,0.0570795536041,decomposed
44,0.0559048652649,decomposed
45,0.0569452047348,decomposed
46,0.0565260648727,decomposed
47,0.0571125745773,decomposed
48,0.0567811727524,decomposed
49,0.0574449300766,decomposed
50,0.0553995370865,decomposed
